"Variable_name","Variable_type","Variable_label"
"awb2_1_sdq_10_a10","haven_labelled","SDQ: last 6mo: I am constantly fidgeting or squirming"
"awb2_1_sdq_11_a10","haven_labelled","SDQ: last 6mo: I have one good friend or more"
"awb2_1_sdq_12_a10","haven_labelled","SDQ: last 6mo: I fight a lot.  I can make other people do what I want"
"awb2_1_sdq_13_a10","haven_labelled","SDQ: last 6mo: I am often unhappy, down-hearted, or tearful"
"awb2_1_sdq_14_a10","haven_labelled","SDQ: last 6mo: Other people my age generally like me"
"awb2_1_sdq_15_a10","haven_labelled","SDQ: last 6mo: I am easily distracted, I find it difficult to concentrate"
"awb2_1_sdq_16_a10","haven_labelled","SDQ: last 6mo: I am nervous in new situations. I easily lose confidence"
"awb2_1_sdq_17_a10","haven_labelled","SDQ: last 6mo: I am kind to younger children"
"awb2_1_sdq_18_a10","haven_labelled","SDQ: last 6mo: I am often accused of lying or cheating"
"awb2_1_sdq_19_a10","haven_labelled","SDQ: last 6mo: Other children or young people pick on me or bully me"
"awb2_1_sdq_2_a10","haven_labelled","SDQ: last 6mo: I am restless, I cannot stay still for long"
"awb2_1_sdq_20_a10","haven_labelled","SDQ: last 6mo: I often volunteer to help others (parents, teachers, children)"
"awb2_1_sdq_21_a10","haven_labelled","SDQ: last 6mo: I think before I do things"
"awb2_1_sdq_22_a10","haven_labelled","SDQ: last 6mo: I take things that are not mine from home, school or elsewhere"
"awb2_1_sdq_23_a10","haven_labelled","SDQ: last 6mo: I get on better with adults than with people my own age"
"awb2_1_sdq_24_a10","haven_labelled","SDQ: last 6mo: I have many fears, I am easily scared"
"awb2_1_sdq_25_a10","haven_labelled","SDQ: last 6mo: I finish the work I'm doing. My attention is good"
"awb2_1_sdq_3_a10","haven_labelled","SDQ: last 6mo: I get a lot of headaches, stomach-aches, or sickness"
"awb2_1_sdq_4_a10","haven_labelled","SDQ: last 6mo: I usually share with others (food, games, pens etc.)"
"awb2_1_sdq_5_a10","haven_labelled","SDQ: last 6mo: I get very angry and often lose my temper"
"awb2_1_sdq_6_a10","haven_labelled","SDQ: last 6mo: I am usually on my own. I generally play alone or keep to myself"
"awb2_1_sdq_7_a10","haven_labelled","SDQ: last 6mo: I usually do as I am told"
"awb2_1_sdq_8_a10","haven_labelled","SDQ: last 6mo: I worry a lot"
"awb2_1_sdq_9_a10","haven_labelled","SDQ: last 6mo: I am helpful if someone is hurt, upset, or feeling ill"
"awb2_2_optmstc_1_a4","haven_labelled","Have you felt optimistic about the future over past 2 weeks?"
"awb2_2_useful_2_a4","haven_labelled","Have you felt useful over past 2 weeks?"
"awb2_2_relxed_3_a4","haven_labelled","Have you felt relaxed over the past 2 weeks?"
"awb2_2_problems_4_a4","haven_labelled","Have you dealt with problems well over the past 2 weeks?"
"awb2_2_think_clr_5_a4","haven_labelled","Have you been thinking clearly over the past 2 weeks?"
"awb2_2_close_othrs_6_a4","haven_labelled","Have you felt close to others over the past 2 weeks?"
"awb2_2_own_mnd_7_a4","haven_labelled","Have you made your own mind up about things over past 2 weeks?"
"awb2_3_self_effccy","haven_labelled","When you find something hard can you work out what to do?"
"awb2_4_loneliness_1","haven_labelled","How often do you feel that you lack friendship?"
"awb2_4_loneliness_2","haven_labelled","How often do you feel left out?"
"awb2_4_loneliness_3","haven_labelled","How often do you feel isolated from others?"
"awb2_4_loneliness_4","haven_labelled","How often do you feel alone?"
"awb2_9_trust","haven_labelled","Would you say most people can be trusted/you can't be too careful?"
"awb2_9_seek_hlp_ppl_1_r4","haven_labelled","How likely would you seek help from partner?"
"awb2_9_seek_hlp_ppl_10","haven_labelled","How likely is it you would not seek help from anyone?"
"awb2_9_seek_hlp_ppl_11","character","Would you seek help from another not listed above? (list)"
"awb2_9_seek_hlp_ppl_2","haven_labelled","How likely would you seek help from a friend?"
"awb2_9_seek_hlp_ppl_3","haven_labelled","How likely would you seek help from a parent/carer?"
"awb2_9_seek_hlp_ppl_4","haven_labelled","How likely would you seek help from another relative/family member?"
"awb2_9_seek_hlp_ppl_5","haven_labelled","How likely would you seek help from a mental health professional?"
"awb2_9_seek_hlp_ppl_6","haven_labelled","How likely would you seek help from a phone helpline?"
"awb2_9_seek_hlp_ppl_7","haven_labelled","How likely would you seek help from a doctor/GP?"
"awb2_9_seek_hlp_ppl_8","haven_labelled","How likely would you seek help from a religious leader?"
"awb2_9_seek_hlp_ppl_9_a_4","haven_labelled","How likely would you seek help from a teacher/other school staff?"
"awb2_9_seek_hlp_ppl_othr_a3","haven_labelled","Would you seek help from another not listed above?"
"awb2_9_seek_hurt_self_a5","haven_labelled","In the past year, have you hurt yourself on purpose in any way?"
"awb2_9_resil1_a5","haven_labelled","I tend to bounce back quickly after hard times"
"awb2_9_resil2_a5","haven_labelled","I have a hard time making it through stressful events"
"awb2_9_resil3_a5","haven_labelled","It does not take me long to recover from a stressful event"
"awb2_9_resil4_a5","haven_labelled","It is hard for me to snap back when something bad happens"
"awb2_9_resil5_a5","haven_labelled","I usually come through difficult times with little trouble"
"awb2_9_resil6_a5","haven_labelled","I tend to take a long time to get over set-backs in my life"
"awb2_11_psychosis_3_r4","haven_labelled","Have you ever heard voices that others cannot hear?"
"awb2_11_upsetting_3_a4","haven_labelled","How upsetting if you heard voices others couldn't hear?"
"awb2_11_pst_yr_3_a4","haven_labelled","How often have you heard voices that other people couldnt hear in the last year?"
"awb2_11_psychosis_5_r4","haven_labelled","Have you ever seen something others cannot see?"
"awb2_11_upsetting_5_a4","haven_labelled","How upsetting if you have seen something other couldn't see?"
"awb2_11_pst_yr_5_a4","haven_labelled","How often have you seen something others couldn't see in past year?"
"awb2_11_psychosis_2_r4","haven_labelled","Have you ever thought you was being followed/spied on?"
"awb2_11_upsetting_2_a4","haven_labelled","How upsetting if you thought you were being followed/spied on?"
"awb2_11_pst_yr_2_a4","haven_labelled","How often have you thought you were being followed or spied on in the past year?"
"awb2_11_plot_hrm_a4","haven_labelled","Ever believed people following you/spying on you as part of a plot"
"awb2_11_psychosis_10_r4","haven_labelled","Have other people ever read your thoughts?"
"awb2_11_upsetting_10_a4","haven_labelled","At its worst, how upsetting did you find people reading your thoughts?"
"awb2_11_pst_yr_10_a4","haven_labelled","How often have you believed that other people can read your thoughts in the past"
"awb2_11_pwrs_read_a4","haven_labelled","Do you think people use special powers to read your thoughts?"
"awb2_11_psychosis_1_r4","haven_labelled","Have you thought you were being sent messages through TV arranged just for you?"
"awb2_11_upsetting_1_a4","haven_labelled","How upsetting if you believed you were being sent special messages through TV"
"awb2_11_pst_yr_1_a4","haven_labelled","How often have you been sent special messages through TV in the past year?"
"awb2_11_psychosis_4_r4","haven_labelled","Have you ever felt under control of a special power?"
"awb2_11_upsetting_4_a4","haven_labelled","How upsetting if you felt under control of a special power?"
"awb2_11_pst_yr_4_a4","haven_labelled","How often you thought you were under control of a special power in past year"
"awb2_11_cntrl_who_a4","haven_labelled","Who did you think was controlling you (at any time in the past)?"
"awb2_11_cntrl_no_will_a4","haven_labelled","Did it control what you were doing or thinking, no will of your own"
"awb2_11_psychosis_9_r4","haven_labelled","Have you ever felt like you have special powers?"
"awb2_11_pst_yr_9_a4","haven_labelled","How often thought you were very special/have special powers past year"
"awb7_1_wntr_mnths","haven_labelled","How often do you visit parks and green spaces? During the winter months"
"awb7_1_smmr_mnths","haven_labelled","How often do you visit parks and green spaces? During the spring/summer months"
"awb7_2_pollution","haven_labelled","What do you think about the air quality in Bradford?"
"awb7_3_clmte_chnge_feelng","haven_labelled","How pos/neg do you feel about the future of the environment?"
"awb7_1_like","haven_labelled","School: I enjoy school"
"awb7_1_trust","haven_labelled","School: There is an adult at school I can talk to if something is worrying me"
"awb7_1_bullying_1_on","haven_labelled","Is bullying a problem at your school?"
"awb7_1_bullying_1_off","haven_labelled","Is bullying a problem at your school?"
"awb7_1_bullying_1","haven_labelled","Is bullying a problem at your school?"
"awb7_1_safe_r8","haven_labelled","I feel safe when I am at school"
"awb7_1_safe1_r8","haven_labelled","I feel safe when I am at school"
"awb7_2_grades_a5","haven_labelled","School pressure: Competition with other people for grades is intense"
"awb7_2_fam_diss_a5","haven_labelled","School pressure: If I dont do well in school my family will be disappointed"
"awb7_2_prnt_preshr_a5","haven_labelled","School pressure: My teachers put too much pressure on me to do well in school"
"awb7_2_progrssng_a5","haven_labelled","School pressure: Im worried about progressing in the future"
"awb7_2_dnt_do_well_a5","haven_labelled","School pressure: If I dont do well in school, Ill be a failure"
"awb7_2_acad_strss_r8","haven_labelled","School pressure: Often feel stressed because of pressure to do well in school"
"awb7_2_test_wrries_a5","haven_labelled","School pressure: I worry about doing well in tests, exams and assessments"
"awb2_7_friends_physcl_a5","haven_labelled","How many in-person friends do you have?"
"awb2_7_friends_physcl_r10","haven_labelled","How many in-person friends do you have?"
"awb2_7_friends_onln_a5","haven_labelled","How many online friends do you have?"
"awb2_7_friends_onln_r10","haven_labelled","How many online friends do you have?"
"awb2_7_friends_clse_a5","haven_labelled","Do you have any close friends?"
"awb2_7_friends_clse_1_a5","haven_labelled","How many of your close friends work hard at school?"
"awb2_7_friends_clse_2_a5","haven_labelled","How many of your close friends get into a lot of trouble at school?"
"awb8_1_morality_1","haven_labelled","Is it wrong for someone your age to start a fight?"
"awb8_1_morality_1_r10","haven_labelled","Do people your age: Start a fight with someone?"
"awb8_1_morality_2","haven_labelled","Is it wrong for someone your age to spray paint on buildings?"
"awb8_1_morality_2_r10","haven_labelled","Do people your age: Write things/spray paint on a building, fence, train"
"awb8_1_morality_3","haven_labelled","Is it wrong for someone your age to steal something from a shop?"
"awb8_1_morality_3_r10","haven_labelled","Do people your age: Take something from a shop without paying for it"
"awb8_1_morality_4","haven_labelled","Is it wrong for someone your age to download content without paying?"
"awb8_1_morality_4_r10","haven_labelled","Do people your age: Copy/download music/games/films without paying"
"awb8_3_bully","haven_labelled","How often have you taken part in bullying somebody at school?"
"awb8_2_bullied","haven_labelled","How often have you been bullied at school in the past couple of months?"
"awb8_2_bullied_onlne","haven_labelled","How often have you been bullied online?"
"awb8_2_bully_onlne","haven_labelled","In the past couple of months, how often have you taken part in online bullying?"
"awb8_2_club_1","haven_labelled","Have you ever been discouraged from joining a club/group?"
"awb8_2_club_rsn_1___1","haven_labelled","Were you discourage from joining a club/group because your ethnicity?"
"awb8_2_club_rsn_1___2","haven_labelled","Were you discourage from joining a club/group because your sex/gender?"
"awb8_2_club_rsn_1___3","haven_labelled","Were you discourage from joining a club/group because your disability?"
"awb8_2_club_rsn_1___4","haven_labelled","Were you discourage from joining a club/group because your religion?"
"awb8_2_club_rsn_1___5","haven_labelled","Were you discourage from joining a club/group because your class?"
"awb8_2_club_rsn_1___6","haven_labelled","Were you discourage from joining a club/group because your neurodiversity?"
"awb8_2_club_rsn_1___7","haven_labelled","Were you discourage from joining a club/group because your sexuality?"
"awb8_2_club_rsn_1___8","haven_labelled","Were you discourage from joining a club/group because of something else?"
"awb8_2_club_rsn_2","character","Were you discourage from joining a club/group because of something else?"
"awb8_2_excl_2","haven_labelled","Have others your age not included you in their activities?"
"awb8_2_excl_rsn_1___1","haven_labelled","Were you excluded from activities because of your ethnicity?"
"awb8_2_excl_rsn_1___2","haven_labelled","Were you excluded from activities because of your sex/gender?"
"awb8_2_excl_rsn_1___3","haven_labelled","Were you excluded from activities because of your disability?"
"awb8_2_excl_rsn_1___4","haven_labelled","Were you excluded from activities because of your religion?"
"awb8_2_excl_rsn_1___5","haven_labelled","Were you excluded from activities because of your class?"
"awb8_2_excl_rsn_1___6","haven_labelled","Were you excluded from activities because of your neurodiversity?"
"awb8_2_excl_rsn_1___7","haven_labelled","Were you excluded from activities because of your sexuality?"
"awb8_2_excl_rsn_1___8","haven_labelled","Were you excluded from activities because of something else?"
"awb8_2_excl_rsn_2","character","Were you excluded from activities because of something else?"
"awb8_2_age_3","haven_labelled","Have people expected less of you than others your age?"
"awb8_2_age_rsn_1___1","haven_labelled","Did people expect less of you because of your ethnicity?"
"awb8_2_age_rsn_1___2","haven_labelled","Did people expect less of you because of your sex/gender?"
"awb8_2_age_rsn_1___3","haven_labelled","Did people expect less of you because of your disability?"
"awb8_2_age_rsn_1___4","haven_labelled","Did people expect less of you because of your religion?"
"awb8_2_age_rsn_1___5","haven_labelled","Did people expect less of you because of your class?"
"awb8_2_age_rsn_1___6","haven_labelled","Did people expect less of you because of your neurodiversity?"
"awb8_2_age_rsn_1___7","haven_labelled","Did people expect less of you because of your sexuality?"
"awb8_2_age_rsn_1___8","haven_labelled","Did people expect less of you because of something else?"
"awb8_2_age_rsn_2","character","Did people expect less of you because of something else?"
"awb8_2_lang_4","haven_labelled","Have people assumed your English was poor?"
"awb8_2_lang_rsn_1___1","haven_labelled","Did people assume your English was poor because of your ethnicity?"
"awb8_2_lang_rsn_1___2","haven_labelled","Did people assume your English was poor because of your sex/gender?"
"awb8_2_lang_rsn_1___3","haven_labelled","Did people assume your English was poor because of your disability?"
"awb8_2_lang_rsn_1___4","haven_labelled","Did people assume your English was poor because of your religion?"
"awb8_2_lang_rsn_1___5","haven_labelled","Did people assume your English was poor because of your class?"
"awb8_2_lang_rsn_1___6","haven_labelled","Did people assume your English was poor because of your neurodiversity?"
"awb8_2_lang_rsn_1___7","haven_labelled","Did people assume your English was poor because of your sexuality?"
"awb8_2_lang_rsn_1___8","haven_labelled","Did people assume your English was poor because of something else?"
"awb8_2_lang_rsn_2","character","Did people assume your English was poor because of something else?"
"awb8_2_police_5","haven_labelled","Have you ever been hassled by police?"
"awb8_2_police_rsn_1___1","haven_labelled","Were you hassled by police because of your ethnicity?"
"awb8_2_police_rsn_1___2","haven_labelled","Were you hassled by police because of your sex/gender?"
"awb8_2_police_rsn_1___3","haven_labelled","Were you hassled by police because of your disability?"
"awb8_2_police_rsn_1___4","haven_labelled","Were you hassled by police because of your religion?"
"awb8_2_police_rsn_1___5","haven_labelled","Were you hassled by police because of your class?"
"awb8_2_police_rsn_1___6","haven_labelled","Were you hassled by police because of your neurodiversity?"
"awb8_2_police_rsn_1___7","haven_labelled","Were you hassled by police because of your sexuality?"
"awb8_2_police_rsn_1___8","haven_labelled","Were you hassled by police because of something else?"
"awb8_2_police_rsn_2","character","Were you hassled by police because of something else?"
"awb8_2_shop_6","haven_labelled","Have you ever been hassled by staff in a shop?"
"awb8_2_shop_rsn_1___1","haven_labelled","Were you hassled by staff in a shop because of your ethnicity?"
"awb8_2_shop_rsn_1___2","haven_labelled","Were you hassled by staff in a shop because of your sex/gender?"
"awb8_2_shop_rsn_1___3","haven_labelled","Were you hassled by staff in a shop because of your disability?"
"awb8_2_shop_rsn_1___4","haven_labelled","Were you hassled by staff in a shop because of your religion?"
"awb8_2_shop_rsn_1___5","haven_labelled","Were you hassled by staff in a shop because of your class?"
"awb8_2_shop_rsn_1___6","haven_labelled","Were you hassled by staff in a shop because of your neurodiversity?"
"awb8_2_shop_rsn_1___7","haven_labelled","Were you hassled by staff in a shop because of your sexuality?"
"awb8_2_shop_rsn_1___8","haven_labelled","Were you hassled by staff in a shop because of something else?"
"awb8_2_shop_rsn_2","character","Were you hassled by staff in a shop because of something else?"
"awb8_2_names_7","haven_labelled","Have you ever been called insulting names?"
"awb8_2_names_rsn_1___1","haven_labelled","Were you called insulting names because of your ethnicity?"
"awb8_2_names_rsn_1___2","haven_labelled","Were you called insulting names because of your sex/gender?"
"awb8_2_names_rsn_1___3","haven_labelled","Were you called insulting names because of your disability?"
"awb8_2_names_rsn_1___4","haven_labelled","Were you called insulting names because of your religion?"
"awb8_2_names_rsn_1___5","haven_labelled","Were you called insulting names because of your class?"
"awb8_2_names_rsn_1___6","haven_labelled","Were you called insulting names because of your neurodiversity?"
"awb8_2_names_rsn_1___7","haven_labelled","Were you called insulting names because of your sexuality?"
"awb8_2_names_rsn_1___8","haven_labelled","Were you called insulting names because of something else?"
"awb8_2_names_rsn_2","character","Were you called insulting names because of something else?"
"awb8_2_service_8","haven_labelled","Have you ever received poor service in a shop/restaurant?"
"awb8_2_service_rsn_1___1","haven_labelled","Did you receive poor service because of your ethnicity?"
"awb8_2_service_rsn_1___2","haven_labelled","Did you receive poor service because of your sex/gender?"
"awb8_2_service_rsn_1___3","haven_labelled","Did you receive poor service because of your disability?"
"awb8_2_service_rsn_1___4","haven_labelled","Did you receive poor service because of your religion?"
"awb8_2_service_rsn_1___5","haven_labelled","Did you receive poor service because of your class?"
"awb8_2_service_rsn_1___6","haven_labelled","Did you receive poor service because of your neurodiversity?"
"awb8_2_service_rsn_1___7","haven_labelled","Did you receive poor service because of your sexuality?"
"awb8_2_service_rsn_1___8","haven_labelled","Did you receive poor service because of something else?"
"awb8_2_service_rsn_2","character","Did you receive poor service because of something else?"
"awb8_2_int_9","haven_labelled","Have people ever acted as though you were not intelligent?"
"awb8_2_int_rsn_1___1","haven_labelled","Did people act as though you weren't intelligent because of your ethnicity?"
"awb8_2_int_rsn_1___2","haven_labelled","Did people act as though you weren't intelligent because of your sex/gender?"
"awb8_2_int_rsn_1___3","haven_labelled","Did people act as though you weren't intelligent because of your disability?"
"awb8_2_int_rsn_1___4","haven_labelled","Did people act as though you weren't intelligent because of your religion?"
"awb8_2_int_rsn_1___5","haven_labelled","Did people act as though you weren't intelligent because of your class?"
"awb8_2_int_rsn_1___6","haven_labelled","Did people act as though you weren't intelligent because of your neurodiversity?"
"awb8_2_int_rsn_1___7","haven_labelled","Did people act as though you werent intelligent because of your sexuality?"
"awb8_2_int_rsn_1___8","haven_labelled","Did people act as though you weren't intelligent because of something else?"
"awb8_2_int_rsn_2","character","Did people act as though you weren't intelligent because of something else?"
"awb8_2_afraid_10","haven_labelled","Have people ever acted like they're afraid of you?"
"awb8_2_afraid_rsn_1___1","haven_labelled","Did people act afraid of you because of your ethnicity?"
"awb8_2_afraid_rsn_1___2","haven_labelled","Did people act afraid of you because of your sex/gender?"
"awb8_2_afraid_rsn_1___3","haven_labelled","Did people act afraid of you because of your disability?"
"awb8_2_afraid_rsn_1___4","haven_labelled","Did people act afraid of you because of your religion?"
"awb8_2_afraid_rsn_1___5","haven_labelled","Did people act afraid of you because of your class?"
"awb8_2_afraid_rsn_1___6","haven_labelled","Did people act afraid of you because of your neurodiversity?"
"awb8_2_afraid_rsn_1___7","haven_labelled","Did people act afraid of you because of your sexuality?"
"awb8_2_afraid_rsn_1___8","haven_labelled","Did people act afraid of you because of something else?"
"awb8_2_afraid_rsn_2","character","Did people act afraid of you because of something else?"
"awb8_2_threat_11","haven_labelled","Have you ever been threatened?"
"awb8_2_threat_rsn_1___1","haven_labelled","Were you threatened because of your ethnicity?"
"awb8_2_threat_rsn_1___2","haven_labelled","Were you threatened because of your sex/gender?"
"awb8_2_threat_rsn_1___3","haven_labelled","Were you threatened because of your disability?"
"awb8_2_threat_rsn_1___4","haven_labelled","Were you threatened because of your religion?"
"awb8_2_threat_rsn_1___5","haven_labelled","Were you threatened because of your class?"
"awb8_2_threat_rsn_1___6","haven_labelled","Were you threatened because of your neurodiversity?"
"awb8_2_threat_rsn_1___7","haven_labelled","Were you threatened because of your sexuality?"
"awb8_2_threat_rsn_1___8","haven_labelled","Were you threatened because of something else?"
"awb8_2_threat_rsn_2","character","Were you threatened because of something else?"
"awb6_1_social_media___1","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Facebook)"
"awb6_1_social_media___2","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Instagram)"
"awb6_1_social_media___3","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Twitter)"
"awb6_1_social_media___4","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=TikTok)"
"awb6_1_social_media___5","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Snapchat)"
"awb6_1_social_media___6","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Twitch)"
"awb6_1_social_media___7","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Omegle)"
"awb6_1_social_media___8","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Yubo)"
"awb6_1_social_media___9","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Kik)"
"awb6_1_social_media___10","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Discord)"
"awb6_1_social_media___11","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Other)"
"awb6_1_social_media_othr","character","Which social media platforms do you use? Tick all that apply (choice=Other)"
"awb6_1_social_media_r10___1","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Facebook)"
"awb6_1_social_media_r10___2","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Instagram)"
"awb6_1_social_media_r10___3","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=X (formerly"
"awb6_1_social_media_r10___4","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=TikTok)"
"awb6_1_social_media_r10___5","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Snapchat)"
"awb6_1_social_media_r10___11","haven_labelled","Which social media platforms do you use? Tick all that apply (choice=Other)"
"awb6_1_time_weekday","haven_labelled","How many hours spent using social media during term time?"
"awb6_1_time_weekend","haven_labelled","How many hrs do you spend using social media at weekend in term time?"
"awb6_1_positive_exp___1","haven_labelled","Has connecting with friends been a positive experience of social media?"
"awb6_1_positive_exp___2","haven_labelled","Has viewing enjoyable content been a positive experience of social media?"
"awb6_1_positive_exp___3","haven_labelled","Has learning new things  been a positive experience of social media?"
"awb6_1_positive_exp___4","haven_labelled","Has accessing support been a positive experience of social media?"
"awb6_1_positive_exp___5","haven_labelled","Has engaging positively with issues been a positive experience of social media?"
"awb6_1_positive_exp___6","haven_labelled","Has there been any other positive experience of social media?"
"awb6_1_positive_exp_othr","character","Has there been any other positive experience of social media?"
"awb6_1_negative_exp_r5___1","haven_labelled","Has people being unpleasant about you been negative experience of social media?"
"awb6_1_negative_exp_r5___2","haven_labelled","Has people bullying you been a negative experience of social media?"
"awb6_1_negative_exp_r5___3","haven_labelled","Has upsetting content been a negative experience of social media?"
"awb6_1_negative_exp_r5___4","haven_labelled","Has sexually explicit images been a negative experience of social media?"
"awb6_1_negative_exp_r5___5","haven_labelled","Has regrettably posting something online been a negative experience of social media?"
"awb6_1_negative_exp_r5___6","haven_labelled","You havent experience any negative experience of social media"
"awb6_1_negative_exp_r5___7","haven_labelled","You've had a negative experience of social media for another reason"
"awb6_1_neg_exp_othr_r5","character","You've had a negative experience of social media for another reason"
"awb6_1_pos_neg","haven_labelled","Has your experience of using social media been mostly positive or negative?"
"awb6_6_int_hme","haven_labelled","Do you have access to the internet at home?"
"awb6_6_int_hme_gd","haven_labelled","How good is your internet at home?"
"awb6_6_int_hme_hrs","haven_labelled","How much time do you spend on the internet at home on a school day?"
"awb6_6_int_hme_hrs_wknd","haven_labelled","How much time do you spend on the internet at home on a weekend day?"
