Curated_variable_name,Curated_variable_type,Curated_variable_label,BiBAgeOfWonder_survey,BiBAgeOfWonder_variable_name,BiBAgeOfWonder_variable_label,Theme
assets_computer,haven_labelled,"Possessions: A computer, laptop or tablet with internet at home",survey_mod231_main_dr24,awb3_1_assets_5,"Possessions: A computer, laptop or tablet with internet at home",socioeconomics
assets_holiday,haven_labelled,Possessions: At least one family holiday away from home in a typical year,survey_mod231_main_dr24,awb3_1_assets_6,Possessions: At least one family holiday away from home in a typical year,socioeconomics
assets_car,haven_labelled,"Possessions: A family car, van, or truck",survey_mod231_main_dr24,awb3_1_assets_7,"Possessions: A family car, van, or truck",socioeconomics
assets_bedroom,haven_labelled,Possessions: A bedroom for yourself,survey_mod231_main_dr24,awb3_1_assets_8,Possessions: A bedroom for yourself,socioeconomics
assets_compare,haven_labelled,Would you say your family is richer compared to your friends?,survey_mod231_main_dr24,awb3_1_compare_frnds,Would you say your family is richer compared to your friends?,socioeconomics
assets_worry,haven_labelled,How often do you worry about how much money your family has?,survey_mod231_main_dr24,awb3_1_money_wrry,How often do you worry about how much money your family has?,socioeconomics
assets_warmth,haven_labelled,Are you warm enough at home during winter?,survey_mod231_main_dr24,awb3_1_warm_engh_a5,Are you warm enough at home during winter?,socioeconomics
assets_save,haven_labelled,Parents have talked about cutting back to save money,survey_mod231_main_dr24,awb3_1_save_mny_a5,Parents have talked about cutting back to save money,socioeconomics
fam_live_where,haven_labelled,Where do you live most of the time?,survey_mod231_main_dr24,awb3_2_live_where_a10,Where do you live most of the time?,socioeconomics
fam_lives_mother,haven_labelled,Who else lives in your home? (mother),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___1,Who else lives in your home? (mother),socioeconomics
fam_lives_father,haven_labelled,Who else lives in your home? (father),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___2,Who else lives in your home? (father),socioeconomics
fam_lives_guardian,haven_labelled,Who else lives in your home? (guardian),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___3,Who else lives in your home? (guardian),socioeconomics
fam_lives_foster,haven_labelled,Who else lives in your home? (foster carer),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___4,Who else lives in your home? (foster carer),socioeconomics
fam_lives_step_m,haven_labelled,Who else lives in your home? (step mother),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___5,Who else lives in your home? (step mother),socioeconomics
fam_lives_step_f,haven_labelled,Who else lives in your home? (step father),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___6,Who else lives in your home? (step father),socioeconomics
fam_lives_m_partner,haven_labelled,Who else lives in your home? (mother's partner),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___7,Who else lives in your home? (mother's partner),socioeconomics
fam_lives_f_partner,haven_labelled,Who else lives in your home? (father's partner),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___8,Who else lives in your home? (father's partner),socioeconomics
fam_lives_siblings,haven_labelled,Who else lives in your home? (siblings),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___9,Who else lives in your home? (siblings),socioeconomics
fam_lives_auntie,haven_labelled,Who else lives in your home? (auntie),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___10,Who else lives in your home? (auntie),socioeconomics
fam_lives_uncle,haven_labelled,Who else lives in your home? (uncle),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___11,Who else lives in your home? (uncle),socioeconomics
fam_lives_grandmother,haven_labelled,Who else lives in your home? (grandmother),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___12,Who else lives in your home? (grandmother),socioeconomics
fam_lives_grandfather,haven_labelled,Who else lives in your home? (grandfather),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___13,Who else lives in your home? (grandfather),socioeconomics
fam_lives_cousins,haven_labelled,Who else lives in your home? (cousins),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___14,Who else lives in your home? (cousins),socioeconomics
fam_lives_other,haven_labelled,Who else lives in your home? (other),survey_mod231_main_dr24,awb3_2_homes_1_ppl_r10___15,Who else lives in your home? (other),socioeconomics
fam_birth_order,haven_labelled,Select your birth order. I am...,survey_mod231_main_dr24,awb_2_6_family_brth_n_a5,Select your birth order. I am...,socioeconomics
fam_getalong_family,haven_labelled,How often does your family get along together?,survey_mod231_main_dr24,awb2_6_family_rltnshp_1_a5,How often does your family get along together?,socioeconomics
fam_getalong_siblings,haven_labelled,How often do you get along siblings and other young people you live with,survey_mod231_main_dr24,awb2_6_family_rltnshp_2_a5,How often do you get along siblings and other young people you live with,socioeconomics
assets_money_pocket,haven_labelled,Financial assets: Regular pocket money or allowance,survey_mod231_main_dr24,awb3_4_personal_assts_1,Financial assets: Regular pocket money or allowance,socioeconomics
assets_money_chores,haven_labelled,Financial assets: Money from doing chores/babysitting for family/relatives,survey_mod231_main_dr24,awb3_4_personal_assts_2,Financial assets: Money from doing chores/babysitting for family/relatives,socioeconomics
assets_money_business,haven_labelled,Financial assets: Money from working in the family business,survey_mod231_main_dr24,awb3_4_personal_assts_3,Financial assets: Money from working in the family business,socioeconomics
assets_money_job,haven_labelled,Financial assets: Money from a paid job,survey_mod231_main_dr24,awb3_4_personal_assts_4,Financial assets: Money from a paid job,socioeconomics
assets_money_parents,haven_labelled,Financial assets: Given money by parents when I need it,survey_mod231_main_dr24,awb3_4_personal_assts_5,Financial assets: Given money by parents when I need it,socioeconomics
food_worry_1,haven_labelled,We cant get the food we want because there is not enough money,survey_mod231_main_dr24,aw3_5_food_1,We cant get the food we want because there is not enough money,socioeconomics
food_worry_2,haven_labelled,I worry about not having enough to eat,survey_mod231_main_dr24,aw3_5_food_2,I worry about not having enough to eat,socioeconomics
food_worry_3,haven_labelled,I worry about how hard it is for my parents to get enough food for us,survey_mod231_main_dr24,aw3_5_food_3,I worry about how hard it is for my parents to get enough food for us,socioeconomics
food_worry_4,haven_labelled,I feel hungry because there is not enough food to eat,survey_mod231_main_dr24,aw3_5_food_4,I feel hungry because there is not enough food to eat,socioeconomics
food_worry_5,haven_labelled,I try not to eat a lot so that our food will last,survey_mod231_main_dr24,aw3_5_food_5,I try not to eat a lot so that our food will last,socioeconomics
social_comparison,haven_labelled,How often do you think that people compare you to others to see if you match up,survey_mod231_main_dr24,aw3_6_comparison_2_r10,How often do you think that people compare you to others to see if you match up,socioeconomics
nbhd_safety_night,haven_labelled,Rate your neighbourhood: Your safety when going out after dark,survey_mod231_main_dr24,awb3_7_prsnl_sfty_1,Rate your neighbourhood: Your safety when going out after dark,socioeconomics
nbhd_safety_day,haven_labelled,Rate your neighbourhood: Your safety when going out during the day,survey_mod231_main_dr24,awb3_7_prsnl_sfty_2,Rate your neighbourhood: Your safety when going out during the day,socioeconomics
nbhd_safety_school,haven_labelled,Rate your neighbourhood: Your safety when going to and from school,survey_mod231_main_dr24,awb3_7_prsnl_sfty_4,Rate your neighbourhood: Your safety when going to and from school,socioeconomics
nbhd_violence,haven_labelled,Have you been victim of violence in past 1yr?,survey_mod231_main_dr24,awb3_7_violence,Have you been victim of violence in past 1yr?,socioeconomics
activities_music,haven_labelled,"Activities in last 1mo: Sing, play an instrument, or make music",survey_mod231_main_dr24,awb3_activities_3_r10,"Activities in last 1mo: Sing, play an instrument, or make music",artsculture
activities_writing,haven_labelled,Activities in last 1mo: Creative writing (outside of school or work),survey_mod231_main_dr24,awb3_activities_15_r10,Activities in last 1mo: Creative writing (outside of school or work),artsculture
activities_volunteer,haven_labelled,"Activities in last 1mo: Voluntary, charity or community work",survey_mod231_main_dr24,awb3_activities_11_r10,"Activities in last 1mo: Voluntary, charity or community work",artsculture
activities_art,haven_labelled,"Activities in last 1mo: Drawing, painting, sculpture, or other artwork",survey_mod231_main_dr24,awb3_activities_17_r10,"Activities in last 1mo: Drawing, painting, sculpture, or other artwork",artsculture
activities_visual,haven_labelled,"Activities in last 1mo: Graphic designs, photographs, or films/videos",survey_mod231_main_dr24,awb3_activities_18_r10,"Activities in last 1mo: Graphic designs, photographs, or films/videos",artsculture
activities_read,haven_labelled,Activities in last 1mo: Read for enjoyment,survey_mod231_main_dr24,awb3_activities_6_r10,Activities in last 1mo: Read for enjoyment,artsculture
activities_poetry,haven_labelled,Activities in last 1mo: Participate in a poetry/spoken word session,survey_mod231_main_dr24,awb3_activities_14_r10,Activities in last 1mo: Participate in a poetry/spoken word session,artsculture
activities_perform,haven_labelled,"Activities in last 1mo: Performed in theatre, dance, circus etc",survey_mod231_main_dr24,awb3_activities_16_r10,"Activities in last 1mo: Performed in theatre, dance, circus etc",artsculture
activities_party,haven_labelled,"Activities in last 1mo: A party, dance, house party or nightclub",survey_mod231_main_dr24,awb3_activities_1_r10,"Activities in last 1mo: A party, dance, house party or nightclub",artsculture
activities_museum,haven_labelled,"Activities in last 1mo: Museums, galleries, historic place, stately home",survey_mod231_main_dr24,awb3_activities_10_r10,"Activities in last 1mo: Museums, galleries, historic place, stately home",artsculture
activities_political,haven_labelled,"Activities in last 1mo: Political meeting, march, rally or demonstration",survey_mod231_main_dr24,awb3_activities_12_r10,"Activities in last 1mo: Political meeting, march, rally or demonstration",artsculture
activities_religious,haven_labelled,Activities in last 1mo: Religious service or event,survey_mod231_main_dr24,awb3_activities_13_r10,Activities in last 1mo: Religious service or event,artsculture
activities_gaming,haven_labelled,Activities in last 1mo: Video gaming event or festival,survey_mod231_main_dr24,awb3_activities_19_a10,Activities in last 1mo: Video gaming event or festival,artsculture
activities_spectate,haven_labelled,Activities in last 1mo: Live sport (for example at a stadium),survey_mod231_main_dr24,awb3_activities_2_r10,Activities in last 1mo: Live sport (for example at a stadium),artsculture
activities_concert,haven_labelled,Activities in last 1mo: A live music concert or gig,survey_mod231_main_dr24,awb3_activities_4_r10,Activities in last 1mo: A live music concert or gig,artsculture
activities_theatre,haven_labelled,"Activities in last 1mo: Attended play, pantomime, opera, dance, circus",survey_mod231_main_dr24,awb3_activities_5_r10,"Activities in last 1mo: Attended play, pantomime, opera, dance, circus",artsculture
activities_club,haven_labelled,Activities in last 1mo: Attended youth clubs,survey_mod231_main_dr24,awb3_activities_7_r10,Activities in last 1mo: Attended youth clubs,artsculture
activities_scouts,haven_labelled,Activities in last 1mo: Scouts/Guides/Explorer scouts/Rangers,survey_mod231_main_dr24,awb3_activities_8_r10,Activities in last 1mo: Scouts/Guides/Explorer scouts/Rangers,artsculture
activities_library,haven_labelled,Activities in last 1mo: A library,survey_mod231_main_dr24,awb3_activities_9_r10,Activities in last 1mo: A library,artsculture
area_proud,haven_labelled,I am proud to live in my local area,survey_mod231_main_dr24,awb3_pip_1_a10,I am proud to live in my local area,artsculture
area_events_proud,haven_labelled,Arts and cultural events in my local area make me feel proud,survey_mod231_main_dr24,awb3_pip_2_a10,Arts and cultural events in my local area make me feel proud,artsculture
area_events_interest,haven_labelled,Arts and cultural events in my local area are of interest to me,survey_mod231_main_dr24,awb3_pip_3_a10,Arts and cultural events in my local area are of interest to me,artsculture
health_general,haven_labelled,How good is your health in general?,survey_mod231_main_dr24,awb5_1_general_hlth,How good is your health in general?,physicalhealth1
health_vision,haven_labelled,"Have you been told to, or do you need to wear glasses in order to see clearly?",survey_mod231_main_dr24,awb5_1_hearing_sght_1_r10,"Have you been told to, or do you need to wear glasses in order to see clearly?",physicalhealth1
health_hearing,haven_labelled,Do you have any difficulty hearing or use a hearing aid,survey_mod231_main_dr24,awb5_1_hearing_sght_3,Do you have any difficulty hearing or use a hearing aid,physicalhealth1
food_breakfast,haven_labelled,How often do you eat breakfast over a week?,survey_mod231_main_dr24,awb5_1_food_dt_2,How often do you eat breakfast over a week?,physicalhealth1
food_fruit,haven_labelled,How often do you eat at least 2 portions of fruit per day?,survey_mod231_main_dr24,awb5_1_food_dt_3,How often do you eat at least 2 portions of fruit per day?,physicalhealth1
food_veg,haven_labelled,How often do you eat at least 2 portions of vegetables per day?,survey_mod231_main_dr24,awb5_1_food_dt_4,How often do you eat at least 2 portions of vegetables per day?,physicalhealth1
food_drinks_sugarfree,haven_labelled,"How often drink diet drinks/sugar free drinks eg diet cola, sugar-free squash",survey_mod231_main_dr24,awb5_1_food_dt_5,"How often drink diet drinks/sugar free drinks eg diet cola, sugar-free squash",physicalhealth1
food_drinks_sugar,haven_labelled,How often do you drink sugary drinks like regular cola or squash,survey_mod231_main_dr24,awb5_1_food_dt_6_r7,How often do you drink sugary drinks like regular cola or squash,physicalhealth1
food_drinks_energy,haven_labelled,How often do you drink energy drinks or high caffeine drinks,survey_mod231_main_dr24,awb5_1_food_dt_10_a10,How often do you drink energy drinks or high caffeine drinks,physicalhealth1
food_fastfood,haven_labelled,How often do you eat fast food,survey_mod231_main_dr24,awb5_1_food_dt_7,How often do you eat fast food,physicalhealth1
edeqs_item_1,numeric,,survey_mod231_main_dr24,awb2_12_eat_hbt_1_a5,Past 7d: Limited food intake to influence weight,physicalhealth1
edeqs_item_10,numeric,,survey_mod231_main_dr24,awb2_12_eat_hbt_10_a5,Past 7d: Ate an unusually large amount of food in one go,physicalhealth1
edeqs_item_2,numeric,,survey_mod231_main_dr24,awb2_12_eat_hbt_2_a5,Past 7d: Gone long periods of time without food to influence weight,physicalhealth1
edeqs_item_3,numeric,,survey_mod231_main_dr24,awb2_12_eat_hbt_3_a5,Past 7d: Thinking about food/calories made it hard to concentrate on interests,physicalhealth1
edeqs_item_4,numeric,,survey_mod231_main_dr24,awb2_12_eat_hbt_4_a5,Past 7d: Thinking about your weight made it hard to concentrate on interests,physicalhealth1
edeqs_item_5,numeric,,survey_mod231_main_dr24,awb2_12_eat_hbt_5_a5,Past 7d: Had a definite fear that you might gain weight,physicalhealth1
edeqs_item_6,numeric,,survey_mod231_main_dr24,awb2_12_eat_hbt_6_a5,Past 7d: Had a strong desire to lose weight,physicalhealth1
edeqs_item_7,numeric,,survey_mod231_main_dr24,awb2_12_eat_hbt_7_a5,Past 7d: Tried to control weight by making yourself sick/taking laxatives,physicalhealth1
edeqs_item_8,numeric,,survey_mod231_main_dr24,awb2_12_eat_hbt_8_a5,Past 7d: Exercised compulsively to control weight,physicalhealth1
edeqs_item_9,numeric,,survey_mod231_main_dr24,awb2_12_eat_hbt_9_a5,Past 7d: Felt like you've lost control over eating,physicalhealth1
edeqs_item_11,numeric,,survey_mod231_main_dr24,awb2_12_wght_1_a5,Past 7d: Weight or shape influenced how you judge yourself,physicalhealth1
edeqs_item_12,numeric,,survey_mod231_main_dr24,awb2_12_wght_2_a5,Past 7d: Been dissatisfied with your weight,physicalhealth1
teeth_brush,haven_labelled,How often do you brush your teeth?,survey_mod231_main_dr24,awb5_1_oral_hlth_1,How often do you brush your teeth?,physicalhealth1
teeth_dentist,haven_labelled,Do you have a dentist you see every 6 months or so?,survey_mod231_main_dr24,awb5_1_oral_hlth_3,Do you have a dentist you see every 6 months or so?,physicalhealth1
puberty_changes,haven_labelled,Puberty: Has your body started changing,survey_mod231_main_dr24,awb4_4_puberty_a10,Puberty: Has your body started changing,physicalhealth1
puberty_periods,haven_labelled,Puberty: Have you started your periods,survey_mod231_main_dr24,awb4_4y_gendersex_f_2,Puberty: Have you started your periods,physicalhealth1
puberty_periods_age,numeric,Puberty: Age at first period,survey_mod231_main_dr24,awb4_4y_gendersex_y_f_2,Puberty: Age at first period,physicalhealth1
drugs_cigarettes,haven_labelled,Have you ever smoked cigarettes? (not including vape/e-cigarettes),survey_mod231_main_dr24,awb5_1_cigs_a5,Have you ever smoked cigarettes? (not including vape/e-cigarettes),healthbehaviours
drugs_cigarettes_freq,haven_labelled,"If yes, how often do you smoke cigarettes?",survey_mod231_main_dr24,awb5_1_cigs2_r10,"If yes, how often do you smoke cigarettes?",healthbehaviours
drugs_vape,haven_labelled,Have you ever vaped/used an e-cigerette?,survey_mod231_main_dr24,awb5_2_evr_vaped_a5,Have you ever vaped/used an e-cigerette?,healthbehaviours
drugs_vape_behav,haven_labelled,Vaping: which statement best describes you,survey_mod231_main_dr24,awb5_2_vape_r10,Vaping: which statement best describes you,healthbehaviours
drugs_alcohol,haven_labelled,Have you ever had an alcoholic drink that is more than a few sips?,survey_mod231_main_dr24,awb5_2_alcohol,Have you ever had an alcoholic drink that is more than a few sips?,healthbehaviours
drugs_alcohol_age,numeric,How old were you when you first had an alcoholic drink?,survey_mod231_main_dr24,awb5_2y_alcohol_age,How old were you when you first had an alcoholic drink?,healthbehaviours
drugs_alcohol_freq,haven_labelled,How many times have you had an alcoholic drink in the last 12 months?,survey_mod231_main_dr24,awb5_2y_alcohol_frqncy,How many times have you had an alcoholic drink in the last 12 months?,healthbehaviours
drugs_alcohol_binge,haven_labelled,Have you ever had 5+ alcoholic drinks at a time?,survey_mod231_main_dr24,awb5_2y_alcohol_qntty,Have you ever had 5+ alcoholic drinks at a time?,healthbehaviours
drugs_alcohol_binge_age,numeric,How old were you when you first had 5+ alcoholic drinks at a time?,survey_mod231_main_dr24,awb5_2_yalcohol_y_qntty_age,How old were you when you first had 5+ alcoholic drinks at a time?,healthbehaviours
drugs_alcohol_binge_freq,haven_labelled,How many times have you had 5+ alcoholic drinks in the last 12 months?,survey_mod231_main_dr24,awb5_2_yalcohol_y_qntty_frqncy,How many times have you had 5+ alcoholic drinks in the last 12 months?,healthbehaviours
drugs_any,haven_labelled,Have you ever taken drugs?,survey_mod231_main_dr24,awb5_drugs,Have you ever taken drugs?,healthbehaviours
drugs_cannibis,haven_labelled,Have you ever taken cannibis?,survey_mod231_main_dr24,awb5_2_drugs_1,Have you ever taken cannibis?,healthbehaviours
drugs_ketamine,haven_labelled,Have you ever taken ketamine?,survey_mod231_main_dr24,awb5_2_drugs_10,Have you ever taken ketamine?,healthbehaviours
drugs_spice,haven_labelled,Have you ever taken spice?,survey_mod231_main_dr24,awb5_2_drugs_12,Have you ever taken spice?,healthbehaviours
drugs_nos,haven_labelled,Have you ever taken nitrous oxide?,survey_mod231_main_dr24,awb5_2_drugs_15,Have you ever taken nitrous oxide?,healthbehaviours
drugs_presc,haven_labelled,Have you ever taken prescription drugs not prescribed to you?,survey_mod231_main_dr24,awb5_2_drugs_17,Have you ever taken prescription drugs not prescribed to you?,healthbehaviours
drugs_cannibis_freq,haven_labelled,In the past year how many times have you taken cannabis?,survey_mod231_main_dr24,awb5_2_cannabis_pstyr,In the past year how many times have you taken cannabis?,healthbehaviours
drugs_cocaine,haven_labelled,Have you ever taken cocaine?,survey_mod231_main_dr24,awb5_2_drugs_2,Have you ever taken cocaine?,healthbehaviours
drugs_cocaine_freq,haven_labelled,In the past year how many times have you taken cocaine?,survey_mod231_main_dr24,awb5_2_cocaine_pstyr,In the past year how many times have you taken cocaine?,healthbehaviours
drugs_ecstacy,haven_labelled,Have you ever taken ecstasy?,survey_mod231_main_dr24,awb5_2_drugs_4,Have you ever taken ecstasy?,healthbehaviours
drugs_ecstacy_freq,haven_labelled,In the past year how many times have you taken ecstasy?,survey_mod231_main_dr24,awb5_2_ecstasy_pstyr,In the past year how many times have you taken ecstasy?,healthbehaviours
drugs_ketamine_freq,haven_labelled,In the past year how many times have you taken Ketamine?,survey_mod231_main_dr24,awb5_2_ket_pstyr,In the past year how many times have you taken Ketamine?,healthbehaviours
drugs_spice_freq,haven_labelled,In the past year how many times have you taken spice?,survey_mod231_main_dr24,awb5_2_spice_pstyr,In the past year how many times have you taken spice?,healthbehaviours
drugs_nos_freq,haven_labelled,In the past year how many times have you taken nitrous oxide?,survey_mod231_main_dr24,awb5_2_nitrous_pstyr,In the past year how many times have you taken nitrous oxide?,healthbehaviours
drugs_presc_freq,haven_labelled,In the past year how many times have you taken prescription drugs for recreation,survey_mod231_main_dr24,awb5_2_prescription_pstyr,In the past year how many times have you taken prescription drugs for recreation,healthbehaviours
drugs_other,haven_labelled,Have you ever taken any of the following? Any other drug not listed above,survey_mod231_main_dr24,awb5_2_drugs_othr_a10,Have you ever taken any of the following? Any other drug not listed above,healthbehaviours
drugs_other_freq,haven_labelled,In the past year how many times have you taken this other drug?,survey_mod231_main_dr24,awb5_2_drugs_othr3_a10,In the past year how many times have you taken this other drug?,healthbehaviours
gambling_lottery,haven_labelled,Gambling: Ever spent money (National Lottery games),survey_mod231_main_dr24,awb5_2_gambling_chk_a10___1,Gambling: Ever spent money (National Lottery games),healthbehaviours
gambling_slot,haven_labelled,Gambling: Ever spent money (Slot machines),survey_mod231_main_dr24,awb5_2_gambling_chk_a10___2,Gambling: Ever spent money (Slot machines),healthbehaviours
gambling_bet_private,haven_labelled,Gambling: Ever spent money (Private bets for money),survey_mod231_main_dr24,awb5_2_gambling_chk_a10___3,Gambling: Ever spent money (Private bets for money),healthbehaviours
gambling_cards,haven_labelled,Gambling: Ever spent money (Playing cards for money),survey_mod231_main_dr24,awb5_2_gambling_chk_a10___4,Gambling: Ever spent money (Playing cards for money),healthbehaviours
gambling_bingo_club,haven_labelled,Gambling: Ever spent money (Bingo at bingo club),survey_mod231_main_dr24,awb5_2_gambling_chk_a10___5,Gambling: Ever spent money (Bingo at bingo club),healthbehaviours
gambling_bingo_other,haven_labelled,Gambling: Ever spent money (Bingo not at a bingo club),survey_mod231_main_dr24,awb5_2_gambling_chk_a10___6,Gambling: Ever spent money (Bingo not at a bingo club),healthbehaviours
gambling_machine,haven_labelled,Gambling: Ever spent money (Gaming machines in betting shop),survey_mod231_main_dr24,awb5_2_gambling_chk_a10___7,Gambling: Ever spent money (Gaming machines in betting shop),healthbehaviours
gambling_bet_shop,haven_labelled,Gambling: Ever spent money (Placing a bet at a betting shop),survey_mod231_main_dr24,awb5_2_gambling_chk_a10___8,Gambling: Ever spent money (Placing a bet at a betting shop),healthbehaviours
gambling_casino,haven_labelled,Gambling: Ever spent money (Visiting a casino to play casino games),survey_mod231_main_dr24,awb5_2_gambling_chk_a10___9,Gambling: Ever spent money (Visiting a casino to play casino games),healthbehaviours
gambling_online,haven_labelled,Gambling: Ever spent money (Gambling websites/apps with cash prizes),survey_mod231_main_dr24,awb5_2_gambling_chk_a10___10,Gambling: Ever spent money (Gambling websites/apps with cash prizes),healthbehaviours
gambling_none,haven_labelled,Gambling: Ever spent money (None of the above),survey_mod231_main_dr24,awb5_2_gambling_chk_a10___0,Gambling: Ever spent money (None of the above),healthbehaviours
gambling_lottery_when,haven_labelled,Gambling: Last spent money (National Lottery games),survey_mod231_main_dr24,awb5_2_gambling_2_r10,Gambling: Last spent money (National Lottery games),healthbehaviours
gambling_slot_when,haven_labelled,Gambling: Last spent money (Slot machines),survey_mod231_main_dr24,awb5_2_gambling_6_r10,Gambling: Last spent money (Slot machines),healthbehaviours
gambling_bet_private_when,haven_labelled,Gambling: Last spent money (Private bets for money),survey_mod231_main_dr24,awb5_2_gambling_7_r10,Gambling: Last spent money (Private bets for money),healthbehaviours
gambling_cards_when,haven_labelled,Gambling: Last spent money (Playing cards for money),survey_mod231_main_dr24,awb5_2_gambling_8_r10,Gambling: Last spent money (Playing cards for money),healthbehaviours
gambling_bingo_club_when,haven_labelled,Gambling: Last spent money (Bingo at bingo club),survey_mod231_main_dr24,awb5_2_gambling_9_r10,Gambling: Last spent money (Bingo at bingo club),healthbehaviours
gambling_bingo_other_when,haven_labelled,Gambling: Last spent money (Bingo not at a bingo club),survey_mod231_main_dr24,awb5_2_gambling_10_r10,Gambling: Last spent money (Bingo not at a bingo club),healthbehaviours
gambling_machine_when,haven_labelled,Gambling: Last spent money (Gaming machines in betting shop),survey_mod231_main_dr24,awb5_2_gambling_11_r10,Gambling: Last spent money (Gaming machines in betting shop),healthbehaviours
gambling_bet_shop_when,haven_labelled,Gambling: Last spent money (Placing a bet at a betting shop),survey_mod231_main_dr24,awb5_2_gambling_12_r10,Gambling: Last spent money (Placing a bet at a betting shop),healthbehaviours
gambling_casino_when,haven_labelled,Gambling: Last spent money (Visiting a casino to play casino games),survey_mod231_main_dr24,awb5_2_gambling_13_r10,Gambling: Last spent money (Visiting a casino to play casino games),healthbehaviours
gambling_online_when,haven_labelled,Gambling: Last spent money (Gambling websites/apps with cash prizes),survey_mod231_main_dr24,"awb5_2_gambling_14_r10,",Gambling: Last spent money (Gambling websites/apps with cash prizes),healthbehaviours
gambling_family,haven_labelled,Has anyone in your immediate family spent money on gambling,survey_mod231_main_dr24,awb5_2_gambling_fam_a10,Has anyone in your immediate family spent money on gambling,healthbehaviours
gaming_purchase_item,haven_labelled,Online games: Have you ever paid money to buy in-game items?,survey_mod231_main_dr24,awb5_2_online_gamb3_a5___1,Online games: Have you ever paid money to buy in-game items?,healthbehaviours
gaming_purchase_unlock,haven_labelled,Online games: Have you ever paid money to unlock in-game items?,survey_mod231_main_dr24,awb5_2_online_gamb3_a5___2,Online games: Have you ever paid money to unlock in-game items?,healthbehaviours
gaming_purchase_bet,haven_labelled,Online games: Have you ever bet with in-game items outside of the game?,survey_mod231_main_dr24,awb5_2_online_gamb3_a5___3,Online games: Have you ever bet with in-game items outside of the game?,healthbehaviours
gaming_purchase_none,haven_labelled,Online games: None of the above,survey_mod231_main_dr24,awb5_2_online_gamb3_a5___4,Online games: None of the above,healthbehaviours
carried_weapon,haven_labelled,Have you carried a knife/other weapon in past year?,survey_mod231_main_dr24,awb5_2y_knife,Have you carried a knife/other weapon in past year?,healthbehaviours
police_stop,haven_labelled,Have you ever been stopped and questioned by the police?,survey_mod231_main_dr24,awb5_2_contactpolice_1,Have you ever been stopped and questioned by the police?,healthbehaviours
police_caution,haven_labelled,Have you ever been given a formal warning or caution by a police officer?,survey_mod231_main_dr24,awb5_2_contactpolice_2,Have you ever been given a formal warning or caution by a police officer?,healthbehaviours
